20;20-29;20-39;20-100
21;20-29;20-39;20-100
22;20-29;20-39;20-100
23;20-29;20-39;20-100
24;20-29;20-39;20-100
25;20-29;20-39;20-100
26;20-29;20-39;20-100
27;20-29;20-39;20-100
28;20-29;20-39;20-100
29;20-29;20-39;20-100
30;30-39;20-39;20-100
31;30-39;20-39;20-100
32;30-39;20-39;20-100
33;30-39;20-39;20-100
34;30-39;20-39;20-100
35;30-39;20-39;20-100
36;30-39;20-39;20-100
37;30-39;20-39;20-100
38;30-39;20-39;20-100
39;30-39;20-39;20-100
40;40-49;40-59;20-100
41;40-49;40-59;20-100
42;40-49;40-59;20-100
43;40-49;40-59;20-100
44;40-49;40-59;20-100
45;40-49;40-59;20-100
46;40-49;40-59;20-100
47;40-49;40-59;20-100
48;40-49;40-59;20-100
49;40-49;40-59;20-100
50;50-59;40-59;20-100
51;50-59;40-59;20-100
52;50-59;40-59;20-100
53;50-59;40-59;20-100
54;50-59;40-59;20-100
55;50-59;40-59;20-100
56;50-59;40-59;20-100
57;50-59;40-59;20-100
58;50-59;40-59;20-100
59;50-59;40-59;20-100
60;60-69;60-79;20-100
61;60-69;60-79;20-100
62;60-69;60-79;20-100
63;60-69;60-79;20-100
64;60-69;60-79;20-100
65;60-69;60-79;20-100
66;60-69;60-79;20-100
67;60-69;60-79;20-100
68;60-69;60-79;20-100
69;60-69;60-79;20-100
70;70-79;60-79;20-100
71;70-79;60-79;20-100
72;70-79;60-79;20-100
73;70-79;60-79;20-100
74;70-79;60-79;20-100
75;70-79;60-79;20-100
76;70-79;60-79;20-100
77;70-79;60-79;20-100
78;70-79;60-79;20-100
79;70-79;60-79;20-100
80;80-89;80-99;20-100
81;80-89;80-99;20-100
82;80-89;80-99;20-100
83;80-89;80-99;20-100
84;80-89;80-99;20-100
85;80-89;80-99;20-100
86;80-89;80-99;20-100
87;80-89;80-99;20-100
88;80-89;80-99;20-100
89;80-89;80-99;20-100
90;90-99;80-99;20-100
91;90-99;80-99;20-100
92;90-99;80-99;20-100
93;90-99;80-99;20-100
94;90-99;80-99;20-100
95;90-99;80-99;20-100
96;90-99;80-99;20-100
97;90-99;80-99;20-100
98;90-99;80-99;20-100
99;90-99;80-99;20-100
100;90-100;80-100;20-100
